observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
48662464,apis_cerana,Asian Honey Bee,bee,pollinator,2020-06-06,2020,6,6,158,monsoon,12.9877634,77.6625607,"DRDO Township, C V Raman Nagar, Bengaluru, Karnataka 560093, India",Apis cerana,research
88946207,apis_cerana,Asian Honey Bee,bee,pollinator,2021-07-28,2021,7,28,209,monsoon,12.84906,77.53463,"Bengaluru, Karnataka, India",Apis cerana,research
107112688,apis_cerana,Asian Honey Bee,bee,pollinator,2022-02-20,2022,2,20,51,winter,12.8934072,77.5945238,"184,, 182, Main Rd, Arekere MICO Layout 2nd stage, Manjunatha Layout, Sahyadri Layout, Arekere, Sahyadri Layout, Panduranga Nagar, Bengaluru, Karnataka 560076, India",Apis cerana,research
148770505,apis_cerana,Asian Honey Bee,bee,pollinator,2023-02-02,2023,2,2,33,winter,12.84439538,77.77532659,"RQVG+R4, Buragunte, Karnataka 562125, India",Apis cerana,research
179151360,apis_cerana,Asian Honey Bee,bee,pollinator,2023-08-19,2023,8,19,231,monsoon,12.8742056269,77.5272426009,Turahalli Tree Park (Turahalli Kiru Aranya),Apis cerana,research
185382787,apis_cerana,Asian Honey Bee,bee,pollinator,2023-09-25,2023,9,25,268,monsoon,12.933835,77.60648,"Bangalore, IN-KA, IN",Apis cerana,research
191576065,apis_cerana,Asian Honey Bee,bee,pollinator,2023-07-27,2023,7,27,208,monsoon,12.2227233,76.6272876,"6JFG+3WM, Dadadahalli, Karnataka 570008, India",Apis cerana,research
191831571,apis_cerana,Asian Honey Bee,bee,pollinator,2023-11-23,2023,11,23,327,post_monsoon,12.910865137,77.6127993688,"MCHS Colony, Stage 2, BTM Layout",Apis cerana,research
194010156,apis_cerana,Asian Honey Bee,bee,pollinator,2023-12-15,2023,12,15,349,winter,12.9228495844,75.6557205319,"WMF4+47X, Kadumane Estate, Karnataka 573165, India",Apis cerana,research
195081033,apis_cerana,Asian Honey Bee,bee,pollinator,2023-12-25,2023,12,25,359,winter,12.4244205,75.7381856,"Madikeri, Karnataka 571201, India",Apis cerana,research
