observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
19801324,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-01-22,2019,1,22,22,winter,12.8011441869,74.8565717787,"Kolya, Kumpala Village, Someshwar, Karnataka 575022, India",Apis dorsata,research
19878672,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-01-26,2019,1,26,26,winter,13.11607284,77.15618978,"Tumkur Rd, Lakkenahalli, Karnataka 561101, India",Apis dorsata,research
19878685,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-01-26,2019,1,26,26,winter,13.11612197,77.15618973,"Tumkur Rd, Lakkenahalli, Karnataka 561101, India",Apis dorsata,research
21560001,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-03-24,2019,3,24,83,pre_monsoon,12.8814775407,77.5261452598,"Thurahalli, Bengaluru, Karnataka 560062, India",Apis dorsata,research
27159455,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-06-16,2019,6,16,167,monsoon,12.9205893,77.2944334,"Savandurga Hill, Karnataka",Apis dorsata,research
28946666,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-02-17,2019,2,17,48,winter,13.37527,77.6763416667,"Nandi Hills, Karnataka, India",Apis dorsata,research
29226154,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-06-30,2019,6,30,181,monsoon,12.8782040927,77.3042289291,"Savanadurga State Forest, Karnataka, India",Apis dorsata,research
30183694,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-07-28,2019,7,28,209,monsoon,13.3707066,74.7849119,"End Point, Manipal, Karnataka 576104",Apis dorsata,research
34299008,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-10-12,2019,10,12,285,post_monsoon,13.0708789825,77.5802154541,"10, Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka 560065, India",Apis dorsata,research
34861897,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-10-14,2019,10,14,287,post_monsoon,11.7348406407,76.6010767191,"Lakkipura, Karnataka, India",Apis dorsata,research
37084866,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-12-27,2019,12,27,361,winter,12.9068088531,77.4930648804,"SHIVASKANDA RESIDENCY 1st cross, new sunkalpalya extension concept city, uttarahalli main road, opp mahaveer lake apartment, Green View Layout, Kengeri, Bengaluru, Karnataka 560060, India",Apis dorsata,research
37264855,apis_dorsata,Giant Honey Bee,bee,pollinator,2019-12-07,2019,12,7,341,winter,12.4244205449,75.7381857187,Coorg,Apis dorsata,research
38292301,apis_dorsata,Giant Honey Bee,bee,pollinator,2020-01-23,2020,1,23,23,winter,12.3679199251,76.4808181567,"Mysuru, Karnataka, India",Apis dorsata,research
