observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
19570849,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-01-05,2019,1,5,5,winter,12.1724499419,76.7534826221,Hadinaru Mole,Danaus chrysippus,research
19649091,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-01-13,2019,1,13,13,winter,12.9983329773,77.5924987793,"Unnamed Road, Jayamahal, Bengaluru, Karnataka 560006, India",Danaus chrysippus,research
19753247,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-01-20,2019,1,20,20,winter,12.301505961,76.6744291247,"Aviary Karanji Nature Park, Mysuru, Karnataka, IN",Danaus chrysippus,research
20420916,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-02-17,2019,2,17,48,winter,12.9814106,77.6700766,"Kaggadasapura Lake, Bengaluru, Karnataka",Danaus chrysippus,research
20998718,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-02-25,2019,2,25,56,winter,12.2726804183,76.6129343704,"Ramakrishnanagar, Mysuru, Karnataka, India",Danaus chrysippus,research
21108693,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-03-10,2019,3,10,69,pre_monsoon,13.15,77.49,"Hesaraghatta Lake, Hesaraghatta Grass Farm, Karnataka 560089",Danaus chrysippus,research
22740606,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-04-12,2019,4,12,102,pre_monsoon,12.9332611859,77.6349231528,"Cauvery Colony, Ejipura, Bengaluru, Karnataka, India",Danaus chrysippus,research
25612422,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-05-18,2019,5,18,138,pre_monsoon,12.9727116667,77.68692,"Doddanekundi, Bengaluru, Karnataka, IN",Danaus chrysippus,research
26109130,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-03-25,2019,3,25,84,pre_monsoon,12.9925010461,77.6722207357,"Karnataka, IN",Danaus chrysippus chrysippus,research
27153779,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-06-16,2019,6,16,167,monsoon,12.9205893,77.2944334,"Savandurga Hill, Karnataka",Danaus chrysippus,research
27153808,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-06-16,2019,6,16,167,monsoon,12.9205893,77.2944334,"Savandurga Hill, Karnataka",Danaus chrysippus,research
27159482,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-06-16,2019,6,16,167,monsoon,12.9205893,77.2944334,"Savandurga Hill, Karnataka",Danaus chrysippus,research
27159489,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-06-16,2019,6,16,167,monsoon,12.9205893,77.2944334,"Savandurga Hill, Karnataka",Danaus chrysippus,research
27256704,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-06-19,2019,6,19,170,monsoon,12.97308,77.686905,"Doddanekundi, Bengaluru, Karnataka, IN",Danaus chrysippus,research
28001678,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-06-27,2019,6,27,178,monsoon,13.1362143,78.1290986,"Kolar, Karnataka, India",Danaus chrysippus,research
