observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
19571193,ficus_benghalensis,Banyan,plant,resource,2019-01-05,2019,1,5,5,winter,12.1387309528,76.6882524516,Basavanapura,Ficus benghalensis,research
21070370,ficus_benghalensis,Banyan,plant,resource,2019-03-03,2019,3,3,62,pre_monsoon,15.55349787,76.64196212,"Raichur Rd, Marlanahalli, Karnataka 583229, India",Ficus benghalensis,research
21985457,ficus_benghalensis,Banyan,plant,resource,2019-03-27,2019,3,27,86,pre_monsoon,12.960354085,77.7375914201,"4th Cross Road, Bengaluru, Karnataka, IN",Ficus benghalensis,research
24978051,ficus_benghalensis,Banyan,plant,resource,2019-05-12,2019,5,12,132,pre_monsoon,12.99208535,77.7162807,"1, Gopalan gradeur, Hoodi, Bengaluru, Karnataka 560067, India",Ficus benghalensis,research
26226605,ficus_benghalensis,Banyan,plant,resource,2019-06-02,2019,6,2,153,monsoon,12.956619272,77.7345844825,"Vartur Road, Bengaluru, Karnataka, IN",Ficus benghalensis,research
28773729,ficus_benghalensis,Banyan,plant,resource,2019-07-14,2019,7,14,195,monsoon,12.9677805305,77.7345904336,"Nallurahalli Road, Bengaluru, Karnataka, IN",Ficus benghalensis,research
30476870,ficus_benghalensis,Banyan,plant,resource,2019-08-03,2019,8,3,215,monsoon,13.0609827042,77.5640563965,"Bangalore, IN-KA, IN",Ficus benghalensis,research
37867336,ficus_benghalensis,Banyan,plant,resource,2020-01-23,2020,1,23,23,winter,12.909521052,77.3955402659,"Dodd Aladmara Road, Bengaluru, Karnataka, IN",Ficus benghalensis,research
37869596,ficus_benghalensis,Banyan,plant,resource,2020-01-23,2020,1,23,23,winter,12.909101681,77.3960452985,"Dodd Aladmara Road, Bengaluru, Karnataka, IN",Ficus benghalensis,research
38142819,ficus_benghalensis,Banyan,plant,resource,2020-01-31,2020,1,31,31,winter,13.2313877,75.6522987,Yelagudige,Ficus benghalensis,research
39400745,ficus_benghalensis,Banyan,plant,resource,2020-02-23,2020,2,23,54,winter,12.0762116721,76.8550416467,"Mysore, IN-KA, IN",Ficus benghalensis,research
45668505,ficus_benghalensis,Banyan,plant,resource,2020-05-12,2020,5,12,133,pre_monsoon,13.0575444769,77.6399883427,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",Ficus benghalensis,research
49014790,ficus_benghalensis,Banyan,plant,resource,2020-06-09,2020,6,9,161,monsoon,17.0461581354,75.7528781891,"Dawal Malik Darga, Domnal, Bijapur, Karnataka, India",Ficus benghalensis,research
60158250,ficus_benghalensis,Banyan,plant,resource,2020-09-20,2020,9,20,264,monsoon,12.9598541,77.73513781,"249/11, Laughing Waters, Ramagondanahalli, Varthur Road, Whitefield, Palm Meadows, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Ficus benghalensis,research
66292145,ficus_benghalensis,Banyan,plant,resource,2020-11-18,2020,11,18,323,post_monsoon,13.0578095229,77.6390541717,Ferns Residency,Ficus benghalensis,research
67389486,ficus_benghalensis,Banyan,plant,resource,2020-12-31,2020,12,31,366,winter,12.9192778067,77.4820175394,"Stage I, Kengeri Satellite Town, Bengaluru, Karnataka 560060, India",Ficus benghalensis,research
67455680,ficus_benghalensis,Banyan,plant,resource,2021-01-02,2021,1,2,2,winter,12.7487988011,77.5027781807,"Ravugodlu, Karnataka 560082, India",Ficus benghalensis,research
70743689,ficus_benghalensis,Banyan,plant,resource,2021-03-07,2021,3,7,66,pre_monsoon,12.8571865,77.508911,"Rachanamadu, Karnataka, India",Ficus benghalensis,research
71202002,ficus_benghalensis,Banyan,plant,resource,2021-03-14,2021,3,14,73,pre_monsoon,12.8064887,77.5272654,"Bengaluru, Karnataka 560083, India",Ficus benghalensis,research
93830036,ficus_benghalensis,Banyan,plant,resource,2021-09-06,2021,9,6,249,monsoon,12.8531935951,77.5033680169,"Badamanavarathekaval, Karnataka, India",Ficus benghalensis,research
