observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
28718387,lantana_camara,Lantana,plant,resource,2019-07-13,2019,7,13,194,monsoon,12.9727916667,77.6913133333,"1st Cross Road, Bengaluru, Karnataka, IN",Lantana camara,research
29031079,lantana_camara,Lantana,plant,resource,2019-07-18,2019,7,18,199,monsoon,12.3523292542,76.6297302246,"Mysuru, Karnataka 570020, India",Lantana camara,research
29501487,lantana_camara,Lantana,plant,resource,2019-07-25,2019,7,25,206,monsoon,13.0678396225,77.5787506104,"Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",Lantana camara,research
30019525,lantana_camara,Lantana,plant,resource,2019-07-30,2019,7,30,211,monsoon,13.3447829722,74.7968929722,"Eshwar Nagar, Manipal, Karnataka, India",Lantana camara,research
31190824,lantana_camara,Lantana,plant,resource,2019-08-19,2019,8,19,231,monsoon,13.122776,74.993319,"Sammilan Shetty Butterfly Park, Belvai, Karnataka 574213, India",Lantana camara,research
32936346,lantana_camara,Lantana,plant,resource,2019-09-18,2019,9,18,261,monsoon,13.0852642609,77.483593002,Bengaluru,Lantana camara,research
33831678,lantana_camara,Lantana,plant,resource,2019-10-04,2019,10,4,277,post_monsoon,13.1992641,77.76550309,"Nallur, Hospital Nallur, Karnataka 562129, India",Lantana camara,research
34360620,lantana_camara,Lantana,plant,resource,2019-10-14,2019,10,14,287,post_monsoon,12.9222104,77.6704588,"Bellandur, Bengaluru, Karnataka, India",Lantana camara,research
34441000,lantana_camara,Lantana,plant,resource,2019-10-16,2019,10,16,289,post_monsoon,12.89361875,77.59016025,"Achappa Layout, Silver Oak Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",Lantana camara,research
35317019,lantana_camara,Lantana,plant,resource,2019-09-22,2019,9,22,265,monsoon,13.6747910666,77.7015120909,"Gudibanda [R], Karnataka 561209, India",Lantana camara,research
35513454,lantana_camara,Lantana,plant,resource,2019-11-10,2019,11,10,314,post_monsoon,12.9866315,77.7102672,"20/A, NCPR Industrial Layout, Seetharampalya, Hoodi, Bengaluru, Karnataka 560048, India",Lantana camara,research
36494055,lantana_camara,Lantana,plant,resource,2019-11-20,2019,11,20,324,post_monsoon,13.0688280093,77.5758653507,"Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",Lantana camara,research
37230036,lantana_camara,Lantana,plant,resource,2019-12-26,2019,12,26,360,winter,12.3765336297,75.5540544167,"Chettimani, Kodagu, Karnataka 571201, India",Lantana camara,research
37230156,lantana_camara,Lantana,plant,resource,2020-01-01,2020,1,1,1,winter,13.1456928253,77.4917755127,"Hesaraghatta Grass Farm, Karnataka 560089, India",Lantana camara,research
37575254,lantana_camara,Lantana,plant,resource,2020-01-14,2020,1,14,14,winter,14.847784981,74.112198837,"Karwar, Uttara Kannada, Karnataka, IN",Lantana camara,research
37705644,lantana_camara,Lantana,plant,resource,2020-01-18,2020,1,18,18,winter,13.1944528824,75.3341542607,"Chikmagalur, IN-KA, IN",Lantana camara,research
38459394,lantana_camara,Lantana,plant,resource,2020-02-09,2020,2,9,40,winter,12.9418719351,77.6879594066,"Kadubeesanahalli, Bengaluru, Karnataka, IN",Lantana camara,research
38873219,lantana_camara,Lantana,plant,resource,2020-02-20,2020,2,20,51,winter,12.9819179199,77.7399319506,"Whitefield, Bengaluru, Karnataka, IN",Lantana camara,research
42837653,lantana_camara,Lantana,plant,resource,2020-04-22,2020,4,22,113,pre_monsoon,13.1218781741,77.60783921,Bengaluru,Lantana camara,research
46627587,lantana_camara,Lantana,plant,resource,2020-05-20,2020,5,20,141,pre_monsoon,12.9024377406,77.6634588307,"Haralur, Bengaluru, Karnataka, IN",Lantana camara,research
