observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
19465639,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-05,2019,1,5,5,winter,12.27611,76.61607,"Ramakrishnanagar, Mysuru, Karnataka, India",Leptocoma zeylonica,research
19465641,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-05,2019,1,5,5,winter,12.276075,76.6160716667,"Mysore, Karnataka, India",Leptocoma zeylonica,research
19487034,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-06,2019,1,6,6,winter,12.9172118384,75.8614975959,"Belur - Somvarpet Rd, Jammanahalli, Karnataka 573214, India",Leptocoma zeylonica,research
19757957,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-20,2019,1,20,20,winter,13.0051516435,77.6162594184,"5, Davis Rd, Sagayapura, Richards Town, Bengaluru, Karnataka 560084, India",Leptocoma zeylonica,research
19799677,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-22,2019,1,22,22,winter,12.4234228815,76.6554170474,"Rd to Car parking, Karnataka 571427, India",Leptocoma zeylonica,research
19799891,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-21,2019,1,21,21,winter,12.4237532536,76.6549486667,"Rd to Car parking, Karnataka 571427, India",Leptocoma zeylonica,research
19820738,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-01-22,2019,1,22,22,winter,12.4232411604,76.6542626917,"Rd to Car parking, Karnataka 571427, India",Leptocoma zeylonica,research
22658581,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-04-13,2019,4,13,103,pre_monsoon,13.3713625243,77.6825461766,"Nandi Hills, Karnataka, India",Leptocoma zeylonica,research
32399206,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-08-31,2019,8,31,243,monsoon,12.959906457,77.5873277709,"Vinobha Nagar, Sudhama Nagar, Bengaluru, Karnataka 560002, India",Leptocoma zeylonica,research
34256738,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2019-10-12,2019,10,12,285,post_monsoon,12.8798875026,77.5295218075,"Bengaluru, Karnataka, India",Leptocoma zeylonica,research
