observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
39341230,mangifera_indica,Mango,plant,resource,2020-02-03,2020,2,3,34,winter,13.3701493233,77.2103101407,"Tumkur, Karnataka, India",Mangifera indica,research
43062008,mangifera_indica,Mango,plant,resource,2020-04-24,2020,4,24,115,pre_monsoon,13.1226645224,77.6082760748,Bengaluru,Mangifera indica,research
44455516,mangifera_indica,Mango,plant,resource,2020-04-12,2020,4,12,103,pre_monsoon,13.06562925,77.6006073333,"Amruthahalli, Hoodi Layout, Sneha Nagar, Byatarayanapura, Bengaluru, Karnataka 560092, India",Mangifera indica,research
45048575,mangifera_indica,Mango,plant,resource,2020-05-06,2020,5,6,127,pre_monsoon,12.9198391,77.6507521,"1st Sector, HSR Layout, Bengaluru, Karnataka, India",Mangifera indica,research
46707388,mangifera_indica,Mango,plant,resource,2020-05-21,2020,5,21,142,pre_monsoon,12.9715987467,77.5945626944,Bengaluru,Mangifera indica,research
51986557,mangifera_indica,Mango,plant,resource,2020-07-05,2020,7,5,187,monsoon,11.9171372957,76.9409449156,"Chamarajanagar, Karnataka 571313, India",Mangifera indica,research
52645656,mangifera_indica,Mango,plant,resource,2020-07-11,2020,7,11,193,monsoon,12.95910863,77.73545846,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
52824360,mangifera_indica,Mango,plant,resource,2020-07-01,2020,7,1,183,monsoon,13.0578095229,77.6390541717,"Ferns Residency, Kothanur, Bengaluru, Karnataka 560077, India ",Mangifera indica,research
53589969,mangifera_indica,Mango,plant,resource,2019-08-26,2019,8,26,238,monsoon,12.9921461,77.5718825,"Sampige Rd, Jai Bheema Nagar, Seshadripuram, Bengaluru, Karnataka 560020, India",Mangifera indica,research
55766614,mangifera_indica,Mango,plant,resource,2020-08-08,2020,8,8,221,monsoon,12.95965399,77.73553997,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
55767272,mangifera_indica,Mango,plant,resource,2020-08-08,2020,8,8,221,monsoon,12.95944619,77.73539085,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
55767568,mangifera_indica,Mango,plant,resource,2020-08-08,2020,8,8,221,monsoon,12.95936708,77.73545968,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
55879165,mangifera_indica,Mango,plant,resource,2020-08-09,2020,8,9,222,monsoon,12.95930784,77.73510573,"241, Phase 1, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
59411986,mangifera_indica,Mango,plant,resource,2020-09-13,2020,9,13,257,monsoon,12.9591928,77.7357579,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
60045941,mangifera_indica,Mango,plant,resource,2020-09-19,2020,9,19,263,monsoon,12.95937467,77.73521477,"241, Phase 1, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
60158338,mangifera_indica,Mango,plant,resource,2020-09-20,2020,9,20,264,monsoon,12.95988482,77.73529383,"249/11, Laughing Waters, Ramagondanahalli, Varthur Road, Whitefield, Palm Meadows, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",Mangifera indica,research
63624128,mangifera_indica,Mango,plant,resource,2020-10-17,2020,10,17,291,post_monsoon,13.4788845377,75.0175156233,"Udupi, Karnataka, India",Mangifera indica,research
64585472,mangifera_indica,Mango,plant,resource,2020-10-23,2020,10,23,297,post_monsoon,13.0677678889,77.5783300833,"Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",Mangifera indica,research
64724616,mangifera_indica,Mango,plant,resource,2020-11-12,2020,11,12,317,post_monsoon,13.0037596721,77.577785477,"Vyalikaval, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560003, India",Mangifera indica,research
68089503,mangifera_indica,Mango,plant,resource,2021-01-15,2021,1,15,15,winter,12.9796091477,77.5952550396,Cubbon Park,Mangifera indica,research
68147002,mangifera_indica,Mango,plant,resource,2021-01-16,2021,1,16,16,winter,13.0631602635,77.5900364667,Sahakar Nagar,Mangifera indica,research
68308421,mangifera_indica,Mango,plant,resource,2021-01-19,2021,1,19,19,winter,13.0405944444,77.57,"Bangalore, IN-KA, IN",Mangifera indica,research
68472962,mangifera_indica,Mango,plant,resource,2021-01-23,2021,1,23,23,winter,13.0442233333,77.56901,"Bangalore, IN-KA, IN",Mangifera indica,research
69298511,mangifera_indica,Mango,plant,resource,2021-02-08,2021,2,8,39,winter,12.3119296903,77.2769197449,Bheemeshwari Adventure and Nature Camp- Junglelodges,Mangifera indica,research
69844752,mangifera_indica,Mango,plant,resource,2021-02-20,2021,2,20,51,winter,13.0553692523,77.5458226904,"Prestige Wellington Park Road, Bengaluru, KA, IN",Mangifera indica,research
70810530,mangifera_indica,Mango,plant,resource,2021-03-08,2021,3,8,67,pre_monsoon,12.5113754006,75.8108001575,Madapur,Mangifera indica,research
70862986,mangifera_indica,Mango,plant,resource,2021-02-13,2021,2,13,44,winter,14.9980998,74.3587473,"Kodthalli, Karnataka 581187, India",Mangifera indica,research
73458019,mangifera_indica,Mango,plant,resource,2021-04-10,2021,4,10,100,pre_monsoon,12.8664050996,77.5191155076,"Sobha Sunbeam 2, Nagegowdanapalya, Bengaluru, Karnataka 560109, India",Mangifera indica,research
88681352,mangifera_indica,Mango,plant,resource,2021-07-26,2021,7,26,207,monsoon,12.850109674,77.7815476992,"B Hosahalli, Bengaluru, KA, IN",Mangifera indica,research
88934134,mangifera_indica,Mango,plant,resource,2021-07-28,2021,7,28,209,monsoon,13.0604558,77.657084,"Koel's Pizzeria Cross, Road, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077, India",Mangifera indica,research
88934146,mangifera_indica,Mango,plant,resource,2021-07-28,2021,7,28,209,monsoon,13.0604558,77.657084,"Koel's Pizzeria Cross, Road, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077, India",Mangifera indica,research
92348490,mangifera_indica,Mango,plant,resource,2021-08-24,2021,8,24,236,monsoon,13.0639016437,77.6051309332,"Balaji Layout, H A Farm Post, Bhuvaneswari Nagar, Dasarahalli, Bengaluru, Karnataka 560092, India",Mangifera indica,research
95015937,mangifera_indica,Mango,plant,resource,2021-09-16,2021,9,16,259,monsoon,12.93460764,77.60487035,"Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",Mangifera indica,research
95016409,mangifera_indica,Mango,plant,resource,2021-09-16,2021,9,16,259,monsoon,12.93483478,77.60466164,"Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",Mangifera indica,research
99084460,mangifera_indica,Mango,plant,resource,2021-10-23,2021,10,23,296,post_monsoon,13.0256249047,77.6420582458,"HBR Layout, Bengaluru, Karnataka 560043, India",Mangifera indica,research
107695487,mangifera_indica,Mango,plant,resource,2022-02-26,2022,2,26,57,winter,13.2391007,75.1067521,"Mala, Karnataka 574122, India",Mangifera indica,research
108010668,mangifera_indica,Mango,plant,resource,2022-02-24,2022,2,24,55,winter,12.7938287176,74.871793713,"Ullal, Karnataka, India",Mangifera indica,research
