observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
28786301,murraya_koenigii,Curry Leaf,plant,resource,2019-07-08,2019,7,8,189,monsoon,12.8279731531,74.9723523834,"Karnataka, IN",Bergera koenigii,research
31163957,murraya_koenigii,Curry Leaf,plant,resource,2019-08-20,2019,8,20,232,monsoon,15.8347937046,74.5005746652,"NH 748, Belagavi, Karnataka, IN",Bergera koenigii,research
46218804,murraya_koenigii,Curry Leaf,plant,resource,2020-05-17,2020,5,17,138,pre_monsoon,15.353443,75.098055,"Central Excise Colony, Gandhi Nagar, Hubli, Karnataka 580030, India",Bergera koenigii,research
51701597,murraya_koenigii,Curry Leaf,plant,resource,2020-03-18,2020,3,18,78,pre_monsoon,12.9227270403,77.5828059018,"4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",Bergera koenigii,research
52820495,murraya_koenigii,Curry Leaf,plant,resource,2020-07-05,2020,7,5,187,monsoon,13.0578095229,77.6390541717,"Ferns Residency, Kothanur, Bengaluru, Karnataka 560077, India ",Bergera koenigii,research
58317077,murraya_koenigii,Curry Leaf,plant,resource,2020-09-02,2020,9,2,246,monsoon,12.8531109,74.85057,Mangalore,Bergera koenigii,research
63084593,murraya_koenigii,Curry Leaf,plant,resource,2020-10-20,2020,10,20,294,post_monsoon,12.9976725765,75.4298662115,"Karnataka 574228, India",Bergera koenigii,research
73191470,murraya_koenigii,Curry Leaf,plant,resource,2021-04-07,2021,4,7,97,pre_monsoon,13.0079941666,77.5378146636,"Stage 2, Maruthi Nagar, Bengaluru, Karnataka, India",Bergera koenigii,research
76278728,murraya_koenigii,Curry Leaf,plant,resource,2021-04-29,2021,4,29,119,pre_monsoon,13.0187721667,77.7683866667,"Vastu Bhoomi, Bengaluru, KA, IN",Bergera koenigii,research
85308786,murraya_koenigii,Curry Leaf,plant,resource,2021-07-02,2021,7,2,183,monsoon,16.20277199,77.36285266,"7/1-15, Ward 22, Raichur, Karnataka 584101, India",Bergera koenigii,research
95014381,murraya_koenigii,Curry Leaf,plant,resource,2021-09-16,2021,9,16,259,monsoon,12.93469727,77.60650637,"WJM4+VHQ, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",Bergera koenigii,research
108163816,murraya_koenigii,Curry Leaf,plant,resource,2022-03-06,2022,3,6,65,pre_monsoon,12.8676539228,74.9564133337,"Karnataka, IN",Bergera koenigii,research
