id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name
48662464,2020-06-06,firos_ak,research,https://www.inaturalist.org/observations/48662464,https://inaturalist-open-data.s3.amazonaws.com/photos/77223607/medium.jpg,"DRDO Township, C V Raman Nagar, Bengaluru, Karnataka 560093, India",12.9877634,77.6625607,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
88946207,2021-07-28,dhruthi2,research,https://www.inaturalist.org/observations/88946207,https://static.inaturalist.org/photos/146824586/medium.jpeg,"Bengaluru, Karnataka, India",12.84906,77.53463,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
107112688,2022-02-20,haneesh,research,https://www.inaturalist.org/observations/107112688,https://inaturalist-open-data.s3.amazonaws.com/photos/180086523/medium.jpeg,"184,, 182, Main Rd, Arekere MICO Layout 2nd stage, Manjunatha Layout, Sahyadri Layout, Arekere, Sahyadri Layout, Panduranga Nagar, Bengaluru, Karnataka 560076, India",12.8934072,77.5945238,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
148770505,2023-02-02,kavya_,research,https://www.inaturalist.org/observations/148770505,https://inaturalist-open-data.s3.amazonaws.com/photos/256253499/medium.jpeg,"RQVG+R4, Buragunte, Karnataka 562125, India",12.84439538,77.77532659,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
179151360,2023-08-19,umavaijnath,research,https://www.inaturalist.org/observations/179151360,https://inaturalist-open-data.s3.amazonaws.com/photos/311858271/medium.jpeg,Turahalli Tree Park (Turahalli Kiru Aranya),12.8742056269,77.5272426009,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
185382787,2023-09-25,bhuvanrajk,research,https://www.inaturalist.org/observations/185382787,https://static.inaturalist.org/photos/323762868/medium.jpeg,"Bangalore, IN-KA, IN",12.933835,77.60648,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
191576065,2023-07-27,abhiapc,research,https://www.inaturalist.org/observations/191576065,https://static.inaturalist.org/photos/336114895/medium.jpeg,"6JFG+3WM, Dadadahalli, Karnataka 570008, India",12.2227233,76.6272876,Mysore,Karnataka,Apis cerana,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
191831571,2023-11-23,arpitaj,research,https://www.inaturalist.org/observations/191831571,https://inaturalist-open-data.s3.amazonaws.com/photos/336629924/medium.jpeg,"MCHS Colony, Stage 2, BTM Layout",12.910865137,77.6127993688,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
194010156,2023-12-15,ramanarayanan,research,https://www.inaturalist.org/observations/194010156,https://inaturalist-open-data.s3.amazonaws.com/photos/340915564/medium.jpeg,"WMF4+47X, Kadumane Estate, Karnataka 573165, India",12.9228495844,75.6557205319,Hassan,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
195081033,2023-12-25,prajwaldeep,research,https://www.inaturalist.org/observations/195081033,https://static.inaturalist.org/photos/343095923/medium.jpeg,"Madikeri, Karnataka 571201, India",12.4244205,75.7381856,Kodagu,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
195464902,2024-01-01,mbentoworld,research,https://www.inaturalist.org/observations/195464902,https://inaturalist-open-data.s3.amazonaws.com/photos/343880021/medium.jpeg,"FXQQ+Q3Q, Dharwad, Karnataka 580001, India",15.4950993326,74.9873780832,Dharwad,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
195820539,2023-12-28,bioexplorer_ash,research,https://www.inaturalist.org/observations/195820539,https://inaturalist-open-data.s3.amazonaws.com/photos/344599971/medium.jpeg,"Vignana Kendra, Bengaluru, Karnataka, India",13.0800706892,77.5785150379,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
195829181,2024-01-05,bhaveesh,research,https://www.inaturalist.org/observations/195829181,https://static.inaturalist.org/photos/344616274/medium.jpeg,"WJJ4+RJF, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",12.9319947,77.6062364997,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
197468270,2023-02-20,karthikeyaeco,research,https://www.inaturalist.org/observations/197468270,https://inaturalist-open-data.s3.amazonaws.com/photos/347804178/medium.jpg,"Padmanabhanagar, Bengaluru, Karnataka, India",12.915179909,77.5566824745,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
197877356,2024-01-10,isidoreajar,research,https://www.inaturalist.org/observations/197877356,https://inaturalist-open-data.s3.amazonaws.com/photos/348627707/medium.jpeg,"Nandi Hills, Karnataka, India",13.370154,77.6834551,Chikballapura,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
198195040,2024-02-02,bhaveesh,research,https://www.inaturalist.org/observations/198195040,https://static.inaturalist.org/photos/349269014/medium.jpeg,"Block I, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",12.9342334,77.6066828,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
198198189,2024-02-02,mbentoworld,research,https://www.inaturalist.org/observations/198198189,https://inaturalist-open-data.s3.amazonaws.com/photos/349275172/medium.jpeg,"Raj Nagar, Dharwad, Karnataka 580008, India",15.4626553262,75.000378415,Dharwad,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
198986527,2024-01-02,bioexplorer_ash,research,https://www.inaturalist.org/observations/198986527,https://inaturalist-open-data.s3.amazonaws.com/photos/350829907/medium.jpeg,"Vignana Kendra, Bengaluru, Karnataka, India",13.0800706892,77.5785150379,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
199211205,2024-02-13,superdambar,research,https://www.inaturalist.org/observations/199211205,https://inaturalist-open-data.s3.amazonaws.com/photos/351276666/medium.jpg,"Siddhapura Road, Bengaluru, KA, IN",12.946745,77.5894916667,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
199430125,2024-02-16,kumi_da,research,https://www.inaturalist.org/observations/199430125,https://static.inaturalist.org/photos/351699450/medium.jpeg,"H.No 13, Srirampura 1st main road opp. rachchenhalli lake, jakkur post, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560064, India",13.0649483333,77.6146316667,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
199439073,2024-02-16,superdambar,research,https://www.inaturalist.org/observations/199439073,https://inaturalist-open-data.s3.amazonaws.com/photos/351717118/medium.jpg,"Bandipur Wildlife Sanctuary, Kodagu, KA, IN",12.009825,76.0591361667,Kodagu,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
199532341,2024-02-17,vismaya_mukund,research,https://www.inaturalist.org/observations/199532341,https://static.inaturalist.org/photos/351894342/medium.jpeg,"Langford Town, Shanti Nagar, Bengaluru, Karnataka, India",12.9595620773,77.6011615992,Bangalore,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
200187539,2024-02-23,tejaspm,research,https://www.inaturalist.org/observations/200187539,https://static.inaturalist.org/photos/353145774/medium.jpeg,"Madugundi, Karnataka, India",13.1330371373,75.4490801319,Chikmagalur,Karnataka,Asian Honey Bee,Apis cerana,Asian Honey Bee,Insecta,338194,Apidae,Apis
