id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
19512072,2019-01-06,subbalakshmi,research,https://www.inaturalist.org/observations/19512072,https://static.inaturalist.org/photos/30027095/medium.jpeg,"Parashakthi Rd, Sathagalli Layout, Mysuru, Karnataka 570019, India",12.3197375,76.6973477,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
19677580,2019-01-12,smejiadu,research,https://www.inaturalist.org/observations/19677580,https://inaturalist-open-data.s3.amazonaws.com/photos/30307877/medium.jpeg,"Lal Bagh Rd, Mavalli, Bengaluru, Karnataka 560004, India",12.9480165871,77.5868711248,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
19780223,2019-01-20,smejiadu,research,https://www.inaturalist.org/observations/19780223,https://inaturalist-open-data.s3.amazonaws.com/photos/30482295/medium.jpeg,"Pump House, Ramavilas Road, Kukkarahalli, Saraswathipuram, Mysuru, Karnataka 570009, India",12.3079205895,76.6361986846,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
19799906,2019-01-21,smejiadu,research,https://www.inaturalist.org/observations/19799906,https://inaturalist-open-data.s3.amazonaws.com/photos/30518561/medium.jpeg,"Rd to Car parking, Karnataka 571427, India",12.4238351098,76.6549191624,Mandya,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
19799916,2019-01-21,smejiadu,research,https://www.inaturalist.org/observations/19799916,https://inaturalist-open-data.s3.amazonaws.com/photos/30518581/medium.jpeg,"Rd to Car parking, Karnataka 571427, India",12.4233773694,76.6557992622,Mandya,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
21112909,2019-03-02,firos_ak,research,https://www.inaturalist.org/observations/21112909,https://inaturalist-open-data.s3.amazonaws.com/photos/32630935/medium.jpeg,"C V Raman Nagar, Bengaluru, Karnataka, India",12.9854542,77.6639248,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
21558220,2019-02-16,subbu107,research,https://www.inaturalist.org/observations/21558220,https://inaturalist-open-data.s3.amazonaws.com/photos/33366101/medium.jpg,"Thurahalli, Bengaluru, Karnataka 560062, India",12.8823304767,77.5260379763,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
27252803,2019-06-19,soumi2good,research,https://www.inaturalist.org/observations/27252803,https://inaturalist-open-data.s3.amazonaws.com/photos/42383621/medium.jpg,"University of Agricultural Sciences, Bengaluru, Karnataka, IN",13.0314366026,77.5880112174,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
35524488,2019-11-10,neelavanam,research,https://www.inaturalist.org/observations/35524488,https://inaturalist-open-data.s3.amazonaws.com/photos/56024476/medium.jpeg,Bengaluru,12.93898,77.54351667,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
36157145,2019-11-24,ashwin_rau,research,https://www.inaturalist.org/observations/36157145,https://inaturalist-open-data.s3.amazonaws.com/photos/57120981/medium.jpeg,"Bangalore, IN-KA, IN",12.9177601942,77.6658212766,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
37742677,2020-01-19,bharathv,research,https://www.inaturalist.org/observations/37742677,,"E Block, Shivamogga, Karnataka 577205, India",13.9347566667,75.5502616667,Shimoga,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
37817939,2020-01-08,sahanam,research,https://www.inaturalist.org/observations/37817939,https://inaturalist-open-data.s3.amazonaws.com/photos/60029733/medium.jpg," Mysuru, Karnataka, India",12.2960723571,76.6256088408,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
38212286,2020-01-30,ashik1,research,https://www.inaturalist.org/observations/38212286,https://inaturalist-open-data.s3.amazonaws.com/photos/60698912/medium.jpeg,"Extension Education Unit, Bizarre Nagara, Ponampet, Karnataka 571216, India",12.145031929,75.9390258789,Kodagu,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
38319694,2020-01-22,vinodborse,research,https://www.inaturalist.org/observations/38319694,https://inaturalist-open-data.s3.amazonaws.com/photos/60883704/medium.jpeg,"Mysuru, Karnataka, India",12.3679148814,76.4807923015,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
38319722,2020-01-24,vinodborse,research,https://www.inaturalist.org/observations/38319722,https://inaturalist-open-data.s3.amazonaws.com/photos/60884549/medium.jpeg,"Mysuru, Karnataka, India",12.3679148814,76.4807923015,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
38873866,2020-02-11,smejiadu,research,https://www.inaturalist.org/observations/38873866,https://inaturalist-open-data.s3.amazonaws.com/photos/61818668/medium.jpeg,"Naagarabhaavi, Bengaluru, Karnataka, India",12.9558816667,77.5174466667,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
38945718,2020-02-12,smejiadu,research,https://www.inaturalist.org/observations/38945718,https://inaturalist-open-data.s3.amazonaws.com/photos/61871424/medium.jpeg,"Naagarabhaavi, Bengaluru, Karnataka, India",12.952245,77.51598,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
39083806,2020-02-16,smejiadu,research,https://www.inaturalist.org/observations/39083806,https://inaturalist-open-data.s3.amazonaws.com/photos/62015376/medium.jpeg,"Panduranga Nagar, Bengaluru, Karnataka 560076, India",12.8954833333,77.590195,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
39159279,2020-02-24,ashik1,research,https://www.inaturalist.org/observations/39159279,https://inaturalist-open-data.s3.amazonaws.com/photos/62104667/medium.jpeg,"Extension Education Unit, Bizarre Nagara, Ponampet, Karnataka 571216, India",12.1446428299,75.9392471313,Kodagu,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
41882557,2020-02-22,prajwal_ullal,research,https://www.inaturalist.org/observations/41882557,https://inaturalist-open-data.s3.amazonaws.com/photos/66460984/medium.jpg,"Bairidevarkoppa, Hubli, Karnataka 580025, India",15.3849411757,75.0954340079,Dharwad,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
42403137,2020-03-11,karthik_ms20,research,https://www.inaturalist.org/observations/42403137,https://static.inaturalist.org/photos/67325800/medium.jpeg,Binny Mill Road,12.9703947793,77.5645863265,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
42403276,2020-03-22,karthik_ms20,research,https://www.inaturalist.org/observations/42403276,https://static.inaturalist.org/photos/67326097/medium.jpeg,"#11 9th cross 3rd main cholurapalya magadi main, Keshava Nagar, Binnipete, Bengaluru, Karnataka 560023, India",12.9702078942,77.5644756854,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
43023035,2020-04-24,sumeshnn,research,https://www.inaturalist.org/observations/43023035,,"4061 Mykonos sobha city, Devin Paradise Enclave, N. Nagenahalli AKC, Bengaluru, Karnataka 560077, India",13.07740722,77.63500684,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
43836014,2020-04-26,neil_nandan0108,research,https://www.inaturalist.org/observations/43836014,https://static.inaturalist.org/photos/69524035/medium.jpg,"Banashankari, Bengaluru, Karnataka, India",12.9397684467,77.560467687,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
44093260,2020-04-25,avigat_pandey,research,https://www.inaturalist.org/observations/44093260,https://inaturalist-open-data.s3.amazonaws.com/photos/69912613/medium.jpeg,"Bengaluru, Karnataka 560060, India",12.8843797,77.4637183,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
