id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
19571193,2019-01-05,subbu107,research,https://www.inaturalist.org/observations/19571193,https://inaturalist-open-data.s3.amazonaws.com/photos/30126554/medium.jpeg,Basavanapura,12.1387309528,76.6882524516,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
21070370,2019-03-03,rambabunsrinivas,research,https://www.inaturalist.org/observations/21070370,https://static.inaturalist.org/photos/32556107/medium.jpeg,"Raichur Rd, Marlanahalli, Karnataka 583229, India",15.55349787,76.64196212,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
21985457,2019-03-27,indirakedlaya,research,https://www.inaturalist.org/observations/21985457,https://static.inaturalist.org/photos/34077093/medium.jpg,"4th Cross Road, Bengaluru, Karnataka, IN",12.960354085,77.7375914201,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
24978051,2019-05-12,amrita_ad,research,https://www.inaturalist.org/observations/24978051,https://static.inaturalist.org/photos/38645764/medium.jpeg,"1, Gopalan gradeur, Hoodi, Bengaluru, Karnataka 560067, India",12.99208535,77.7162807,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
26226605,2019-06-02,indirakedlaya,research,https://www.inaturalist.org/observations/26226605,https://static.inaturalist.org/photos/40706792/medium.jpg,"Vartur Road, Bengaluru, Karnataka, IN",12.956619272,77.7345844825,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
28773729,2019-07-14,shanthichandola,research,https://www.inaturalist.org/observations/28773729,https://inaturalist-open-data.s3.amazonaws.com/photos/44876121/medium.jpg,"Nallurahalli Road, Bengaluru, Karnataka, IN",12.9677805305,77.7345904336,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
30476870,2019-08-03,suhelq,research,https://www.inaturalist.org/observations/30476870,https://inaturalist-open-data.s3.amazonaws.com/photos/47617325/medium.jpeg,"Bangalore, IN-KA, IN",13.0609827042,77.5640563965,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
37867336,2020-01-23,liquidmetal,research,https://www.inaturalist.org/observations/37867336,https://inaturalist-open-data.s3.amazonaws.com/photos/60113772/medium.jpg,"Dodd Aladmara Road, Bengaluru, Karnataka, IN",12.909521052,77.3955402659,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
37869596,2020-01-23,liquidmetal,research,https://www.inaturalist.org/observations/37869596,https://inaturalist-open-data.s3.amazonaws.com/photos/60128078/medium.jpg,"Dodd Aladmara Road, Bengaluru, Karnataka, IN",12.909101681,77.3960452985,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
38142819,2020-01-31,fadybash,research,https://www.inaturalist.org/observations/38142819,https://inaturalist-open-data.s3.amazonaws.com/photos/60580363/medium.jpeg,Yelagudige,13.2313877,75.6522987,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
