id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
28718387,2019-07-13,akilan,research,https://www.inaturalist.org/observations/28718387,https://static.inaturalist.org/photos/44786535/medium.jpg,"1st Cross Road, Bengaluru, Karnataka, IN",12.9727916667,77.6913133333,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
29031079,2019-07-18,rohitnaniwadekar,research,https://www.inaturalist.org/observations/29031079,https://inaturalist-open-data.s3.amazonaws.com/photos/45289433/medium.jpeg,"Mysuru, Karnataka 570020, India",12.3523292542,76.6297302246,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
29501487,2019-07-25,kulbhushansingh,research,https://www.inaturalist.org/observations/29501487,https://inaturalist-open-data.s3.amazonaws.com/photos/46142219/medium.jpeg,"Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",13.0678396225,77.5787506104,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
30019525,2019-07-30,kishoore,research,https://www.inaturalist.org/observations/30019525,https://inaturalist-open-data.s3.amazonaws.com/photos/46879246/medium.jpg,"Eshwar Nagar, Manipal, Karnataka, India",13.3447829722,74.7968929722,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
31190824,2019-08-19,harshithjv,research,https://www.inaturalist.org/observations/31190824,https://inaturalist-open-data.s3.amazonaws.com/photos/48792215/medium.jpeg,"Sammilan Shetty Butterfly Park, Belvai, Karnataka 574213, India",13.122776,74.993319,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
32936346,2019-09-18,chrivebl,research,https://www.inaturalist.org/observations/32936346,https://inaturalist-open-data.s3.amazonaws.com/photos/51694888/medium.jpeg,Bengaluru,13.0852642609,77.483593002,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
33831678,2019-10-04,perronwelch,research,https://www.inaturalist.org/observations/33831678,https://inaturalist-open-data.s3.amazonaws.com/photos/53179888/medium.jpeg,"Nallur, Hospital Nallur, Karnataka 562129, India",13.1992641,77.76550309,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
34360620,2019-10-14,kaushikchatterjee,research,https://www.inaturalist.org/observations/34360620,https://static.inaturalist.org/photos/54068544/medium.jpeg,"Bellandur, Bengaluru, Karnataka, India",12.9222104,77.6704588,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
34441000,2019-10-16,kasiviswanath,research,https://www.inaturalist.org/observations/34441000,https://static.inaturalist.org/photos/54205976/medium.jpeg,"Achappa Layout, Silver Oak Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",12.89361875,77.59016025,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
35317019,2019-09-22,gurmitsingh,research,https://www.inaturalist.org/observations/35317019,https://static.inaturalist.org/photos/55679244/medium.jpeg,"Gudibanda [R], Karnataka 561209, India",13.6747910666,77.7015120909,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
35513454,2019-11-10,rajini,research,https://www.inaturalist.org/observations/35513454,https://static.inaturalist.org/photos/56005285/medium.jpeg,"20/A, NCPR Industrial Layout, Seetharampalya, Hoodi, Bengaluru, Karnataka 560048, India",12.9866315,77.7102672,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
36494055,2019-11-20,rajatrastogi,research,https://www.inaturalist.org/observations/36494055,https://static.inaturalist.org/photos/57694637/medium.jpeg,"Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",13.0688280093,77.5758653507,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
37230036,2019-12-26,suhelq,research,https://www.inaturalist.org/observations/37230036,https://inaturalist-open-data.s3.amazonaws.com/photos/58987839/medium.jpeg,"Chettimani, Kodagu, Karnataka 571201, India",12.3765336297,75.5540544167,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
37230156,2020-01-01,suhelq,research,https://www.inaturalist.org/observations/37230156,https://inaturalist-open-data.s3.amazonaws.com/photos/58987985/medium.jpeg,"Hesaraghatta Grass Farm, Karnataka 560089, India",13.1456928253,77.4917755127,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
37575254,2020-01-14,liquidmetal,research,https://www.inaturalist.org/observations/37575254,https://inaturalist-open-data.s3.amazonaws.com/photos/59596351/medium.jpg,"Karwar, Uttara Kannada, Karnataka, IN",14.847784981,74.112198837,Karnataka,India,kirjotulikruunu,Lantana camara,common lantana,Plantae,50333
37705644,2020-01-18,liquidmetal,research,https://www.inaturalist.org/observations/37705644,https://inaturalist-open-data.s3.amazonaws.com/photos/59829239/medium.jpg,"Chikmagalur, IN-KA, IN",13.1944528824,75.3341542607,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
38459394,2020-02-09,sanjayshah,research,https://www.inaturalist.org/observations/38459394,https://static.inaturalist.org/photos/61125847/medium.jpg,"Kadubeesanahalli, Bengaluru, Karnataka, IN",12.9418719351,77.6879594066,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
38873219,2020-02-20,sringnp,research,https://www.inaturalist.org/observations/38873219,https://static.inaturalist.org/photos/61817607/medium.jpg,"Whitefield, Bengaluru, Karnataka, IN",12.9819179199,77.7399319506,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
42837653,2020-04-22,bhuvanvb,research,https://www.inaturalist.org/observations/42837653,https://inaturalist-open-data.s3.amazonaws.com/photos/68030037/medium.jpeg,Bengaluru,13.1218781741,77.60783921,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
46627587,2020-05-20,drsarikakhurana,research,https://www.inaturalist.org/observations/46627587,https://static.inaturalist.org/photos/73954213/medium.jpg,"Haralur, Bengaluru, Karnataka, IN",12.9024377406,77.6634588307,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
46826549,2020-05-22,frenitashaila,research,https://www.inaturalist.org/observations/46826549,https://static.inaturalist.org/photos/74265065/medium.jpeg,"Karnataka 574141, India",13.0960766667,74.8529733333,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
47617112,2020-05-28,dheeraj_c_l,research,https://www.inaturalist.org/observations/47617112,https://inaturalist-open-data.s3.amazonaws.com/photos/75527868/medium.jpeg,"Uttara Kannada, IN-KA, IN",14.2825965833,74.4441146667,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
50363458,2020-06-21,rudraksh2005,research,https://www.inaturalist.org/observations/50363458,https://static.inaturalist.org/photos/79972676/medium.jpeg,"Bangalore, IN-KA, IN",12.8218415,77.6516437,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
52004317,2020-07-05,rameshdesai,research,https://www.inaturalist.org/observations/52004317,https://static.inaturalist.org/photos/82651197/medium.jpeg,"Bhutnal Lake, Bijapur, Karnataka, India",16.8865018516,75.7099055128,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
52378957,2020-07-08,rameshdesai,research,https://www.inaturalist.org/observations/52378957,https://static.inaturalist.org/photos/83260645/medium.jpg," Hanchinal Lake Bijapur County, Karnataka, IN",16.8660398262,75.7365918576,Karnataka,India,common lantana,Lantana camara,common lantana,Plantae,50333
