id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name
19465639,2019-01-05,feather_pixels,research,https://www.inaturalist.org/observations/19465639,https://inaturalist-open-data.s3.amazonaws.com/photos/29948880/medium.jpeg,"Ramakrishnanagar, Mysuru, Karnataka, India",12.27611,76.61607,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
19465641,2019-01-05,feather_pixels,research,https://www.inaturalist.org/observations/19465641,https://inaturalist-open-data.s3.amazonaws.com/photos/29948885/medium.jpeg,"Mysore, Karnataka, India",12.276075,76.6160716667,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
19487034,2019-01-06,vivek10,research,https://www.inaturalist.org/observations/19487034,https://static.inaturalist.org/photos/29984074/medium.jpeg,"Belur - Somvarpet Rd, Jammanahalli, Karnataka 573214, India",12.9172118384,75.8614975959,Hassan,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
19757957,2019-01-20,smejiadu,research,https://www.inaturalist.org/observations/19757957,https://inaturalist-open-data.s3.amazonaws.com/photos/30444847/medium.jpeg,"5, Davis Rd, Sagayapura, Richards Town, Bengaluru, Karnataka 560084, India",13.0051516435,77.6162594184,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
19799677,2019-01-22,smejiadu,research,https://www.inaturalist.org/observations/19799677,https://inaturalist-open-data.s3.amazonaws.com/photos/30518090/medium.jpeg,"Rd to Car parking, Karnataka 571427, India",12.4234228815,76.6554170474,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
19799891,2019-01-21,smejiadu,research,https://www.inaturalist.org/observations/19799891,https://inaturalist-open-data.s3.amazonaws.com/photos/30518517/medium.jpeg,"Rd to Car parking, Karnataka 571427, India",12.4237532536,76.6549486667,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
19820738,2019-01-22,smejiadu,research,https://www.inaturalist.org/observations/19820738,https://inaturalist-open-data.s3.amazonaws.com/photos/30552993/medium.jpeg,"Rd to Car parking, Karnataka 571427, India",12.4232411604,76.6542626917,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
22658581,2019-04-13,ash2016,research,https://www.inaturalist.org/observations/22658581,https://inaturalist-open-data.s3.amazonaws.com/photos/35107814/medium.jpeg,"Nandi Hills, Karnataka, India",13.3713625243,77.6825461766,Chikballapura,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
32399206,2019-08-31,avith,research,https://www.inaturalist.org/observations/32399206,https://static.inaturalist.org/photos/50812524/medium.jpeg,"Vinobha Nagar, Sudhama Nagar, Bengaluru, Karnataka 560002, India",12.959906457,77.5873277709,Bangalore,Karnataka,which bird is this,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
34256738,2019-10-12,subbu107,research,https://www.inaturalist.org/observations/34256738,https://inaturalist-open-data.s3.amazonaws.com/photos/53888518/medium.jpg,"Bengaluru, Karnataka, India",12.8798875026,77.5295218075,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
