id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
39341230,2020-02-03,siddarthmachado,research,https://www.inaturalist.org/observations/39341230,https://inaturalist-open-data.s3.amazonaws.com/photos/62401287/medium.jpeg,"Tumkur, Karnataka, India",13.3701493233,77.2103101407,Karnataka,India,Manguier,Mangifera indica,Indian mango,Plantae,48872
43062008,2020-04-24,bhuvanvb,research,https://www.inaturalist.org/observations/43062008,https://inaturalist-open-data.s3.amazonaws.com/photos/68370953/medium.jpeg,Bengaluru,13.1226645224,77.6082760748,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
44455516,2020-04-12,rajkamal,research,https://www.inaturalist.org/observations/44455516,https://inaturalist-open-data.s3.amazonaws.com/photos/70486039/medium.jpeg,"Amruthahalli, Hoodi Layout, Sneha Nagar, Byatarayanapura, Bengaluru, Karnataka 560092, India",13.06562925,77.6006073333,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
45048575,2020-05-06,krishnapreethi,research,https://www.inaturalist.org/observations/45048575,https://inaturalist-open-data.s3.amazonaws.com/photos/71422781/medium.jpeg,"1st Sector, HSR Layout, Bengaluru, Karnataka, India",12.9198391,77.6507521,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
46707388,2020-05-21,snezana,research,https://www.inaturalist.org/observations/46707388,https://static.inaturalist.org/photos/74078914/medium.jpeg,Bengaluru,12.9715987467,77.5945626944,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
51986557,2020-07-05,harshalbhoyar,research,https://www.inaturalist.org/observations/51986557,https://static.inaturalist.org/photos/82622755/medium.jpeg,"Chamarajanagar, Karnataka 571313, India",11.9171372957,76.9409449156,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
52645656,2020-07-11,yashas1,research,https://www.inaturalist.org/observations/52645656,https://static.inaturalist.org/photos/83702665/medium.jpeg,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95910863,77.73545846,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
52824360,2020-07-01,subhadrad,research,https://www.inaturalist.org/observations/52824360,https://inaturalist-open-data.s3.amazonaws.com/photos/83991250/medium.jpg,"Ferns Residency, Kothanur, Bengaluru, Karnataka 560077, India ",13.0578095229,77.6390541717,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
53589969,2019-08-26,ahmeddomarr,research,https://www.inaturalist.org/observations/53589969,https://inaturalist-open-data.s3.amazonaws.com/photos/85241444/medium.jpeg,"Sampige Rd, Jai Bheema Nagar, Seshadripuram, Bengaluru, Karnataka 560020, India",12.9921461,77.5718825,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
55766614,2020-08-08,varunshirhatti,research,https://www.inaturalist.org/observations/55766614,https://static.inaturalist.org/photos/88822264/medium.jpeg,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95965399,77.73553997,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
55767272,2020-08-08,varunshirhatti,research,https://www.inaturalist.org/observations/55767272,https://static.inaturalist.org/photos/88823276/medium.jpeg,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95944619,77.73539085,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
55767568,2020-08-08,yashas1,research,https://www.inaturalist.org/observations/55767568,https://static.inaturalist.org/photos/88824073/medium.jpeg,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95936708,77.73545968,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
55879165,2020-08-09,varunshirhatti,research,https://www.inaturalist.org/observations/55879165,https://static.inaturalist.org/photos/89007407/medium.jpeg,"241, Phase 1, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95930784,77.73510573,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
59411986,2020-09-13,yashas1,research,https://www.inaturalist.org/observations/59411986,https://static.inaturalist.org/photos/94929824/medium.jpeg,"Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.9591928,77.7357579,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
60045941,2020-09-19,yashas1,research,https://www.inaturalist.org/observations/60045941,https://static.inaturalist.org/photos/95988331/medium.jpeg,"241, Phase 1, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95937467,77.73521477,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
60158338,2020-09-20,yashas1,research,https://www.inaturalist.org/observations/60158338,https://static.inaturalist.org/photos/96171880/medium.jpeg,"249/11, Laughing Waters, Ramagondanahalli, Varthur Road, Whitefield, Palm Meadows, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",12.95988482,77.73529383,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
63624128,2020-10-17,siddarthmachado,research,https://www.inaturalist.org/observations/63624128,https://inaturalist-open-data.s3.amazonaws.com/photos/102142737/medium.jpeg,"Udupi, Karnataka, India",13.4788845377,75.0175156233,Karnataka,India,Indian Mango,Mangifera indica,Indian mango,Plantae,48872
