id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
28786301,2019-07-08,harshithjv,research,https://www.inaturalist.org/observations/28786301,https://inaturalist-open-data.s3.amazonaws.com/photos/44897230/medium.jpg,"Karnataka, IN",12.8279731531,74.9723523834,Dakshin Kannad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
31163957,2019-08-20,gopisundar,research,https://www.inaturalist.org/observations/31163957,https://inaturalist-open-data.s3.amazonaws.com/photos/48748912/medium.jpg,"NH 748, Belagavi, Karnataka, IN",15.8347937046,74.5005746652,Belgaum,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
46218804,2020-05-17,sudharmbasapur,research,https://www.inaturalist.org/observations/46218804,https://static.inaturalist.org/photos/73304661/medium.jpeg,"Central Excise Colony, Gandhi Nagar, Hubli, Karnataka 580030, India",15.353443,75.098055,Dharwad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
51701597,2020-03-18,akhilesh,research,https://www.inaturalist.org/observations/51701597,https://inaturalist-open-data.s3.amazonaws.com/photos/82159934/medium.jpg,"4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",12.9227270403,77.5828059018,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
52820495,2020-07-05,subhadrad,research,https://www.inaturalist.org/observations/52820495,https://inaturalist-open-data.s3.amazonaws.com/photos/83982953/medium.jpg,"Ferns Residency, Kothanur, Bengaluru, Karnataka 560077, India ",13.0578095229,77.6390541717,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
58317077,2020-09-02,vanditha,research,https://www.inaturalist.org/observations/58317077,https://inaturalist-open-data.s3.amazonaws.com/photos/94986125/medium.jpeg,Mangalore,12.8531109,74.85057,Dakshin Kannad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
63084593,2020-10-20,sahan_kj,research,https://www.inaturalist.org/observations/63084593,https://static.inaturalist.org/photos/101186082/medium.jpeg,"Karnataka 574228, India",12.9976725765,75.4298662115,Dakshin Kannad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
73191470,2021-04-07,yuktha,research,https://www.inaturalist.org/observations/73191470,https://inaturalist-open-data.s3.amazonaws.com/photos/119462675/medium.jpg,"Stage 2, Maruthi Nagar, Bengaluru, Karnataka, India",13.0079941666,77.5378146636,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
76278728,2021-04-29,sanchalikarthik,research,https://www.inaturalist.org/observations/76278728,https://inaturalist-open-data.s3.amazonaws.com/photos/124781438/medium.jpg,"Vastu Bhoomi, Bengaluru, KA, IN",13.0187721667,77.7683866667,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
85308786,2021-07-02,sudhanva,research,https://www.inaturalist.org/observations/85308786,https://static.inaturalist.org/photos/140342688/medium.jpeg,"7/1-15, Ward 22, Raichur, Karnataka 584101, India",16.20277199,77.36285266,Raichur,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
95014381,2021-09-16,eva_suman_lakra,research,https://www.inaturalist.org/observations/95014381,https://static.inaturalist.org/photos/157685515/medium.jpeg,"WJM4+VHQ, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",12.93469727,77.60650637,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
108163816,2022-03-06,harshithjv,research,https://www.inaturalist.org/observations/108163816,https://inaturalist-open-data.s3.amazonaws.com/photos/182060298/medium.jpeg,"Karnataka, IN",12.8676539228,74.9564133337,Dakshin Kannad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
108592925,2022-03-13,shivaprakash,research,https://www.inaturalist.org/observations/108592925,https://inaturalist-open-data.s3.amazonaws.com/photos/182863137/medium.jpg,"Seege Keri - Sūryakalyāni Gudda, Karnataka 581337, India",14.7963864,74.4996958,Uttar Kannand,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
